"","neighbourhood","count","type"
"1","Mount Pleasant",79,"participant"
"2","Kitsilano",38,"participant"
"3","Kensington-Cedar Cottage",62,"participant"
"4","Renfrew-Collingwood",29,"participant"
"5","West End (incl. Stanley Park)",18,"participant"
"6","Grandview-Woodland",46,"participant"
"7","Kerrisdale",20,"participant"
"8","Oakridge",13,"participant"
"9","Strathcona",29,"participant"
"10","Dunbar-Southlands
",4,"participant"
"11","Fairview",1,"participant"
"12","Hastings-Sunrise",3,"participant"
"13","Killarney",1,"participant"
"14","Marpole",1,"participant"
"15","Riley Park",18,"participant"
"16","Shaughnessy",1,"participant"
"17","Strathcona /West End (incl. Stanley Park)",1,"participant"
"18","Sunset",1,"participant"
"19","Mount Pleasant",13,"garden"
"20","Kitsilano",8,"garden"
"21","Kensington-Cedar Cottage",6,"garden"
"22","Renfrew-Collingwood",4,"garden"
"23","West End (incl. Stanley Park)",4,"garden"
"24","Grandview-Woodland",3,"garden"
"25","Kerrisdale",3,"garden"
"26","Oakridge",2,"garden"
"27","Strathcona",2,"garden"
"28","Dunbar-Southlands
",1,"garden"
"29","Fairview",1,"garden"
"30","Hastings-Sunrise",1,"garden"
"31","Killarney",1,"garden"
"32","Marpole",1,"garden"
"33","Riley Park",1,"garden"
"34","Shaughnessy",1,"garden"
"35","Strathcona /West End (incl. Stanley Park)",1,"garden"
"36","Sunset",1,"garden"
